feature_index,feature_name
0,%_lidocaine
1,%_marcaine
2,%_xylocaine
3,",_none"
4,",anesthesia:_,_general"
5,",anesthesia:_,_general_endotracheal"
6,",complications:,_none"
7,",complications:_,_none"
8,",estimated_blood_loss"
9,",neck:_supple"
10,",past_medical_history"
11,",postoperative_diagnoses"
12,",postoperative_diagnosis"
13,",postoperative_diagnosis performed"
14,-_vicryl
15,//.
16,a_#_blade
17,a_-year-old_female
18,a_-year-old_female who
19,a_-year-old_gentleman
20,a_-year-old_male
21,a_-year-old_male who
22,a_-year-old_white_male
23,a_-year-old_woman
24,a_couple
25,a_ct_scan
26,a_foley_catheter
27,a_history
28,a_lot
29,a_nonsmoker
30,a_sterile_fashion
31,a_supine_position
32,a_total
33,abc
34,abcd_general_hospital
35,abdomen
36,abdominal_pain
37,addition
38,adhesions
39,admission
40,age
41,alcohol
42,all
43,all_extremities
44,all_questions
45,all_risks
46,allergies
47,alternatives
48,an_incision
49,an_mri
50,anemia
51,anesthesia
52,anterior_cervical_discectomy
53,antibiotics
54,anxiety
55,any_chest_pain
56,anything
57,appearance
58,appendectomy
59,approximately_cm
60,arthritis
61,aspiration
62,aspirin
63,asthma
64,atrial_fibrillation
65,attention
66,auscultation
67,back_pain
68,bed
69,bedtime
70,benefits
71,benefits alternatives
72,benefits the_procedure
73,betadine
74,biopsies
75,biopsy
76,bleeding
77,bleeding infection
78,blood
79,blood_loss
80,blood_loss minimal
81,blood_pressure
82,blood_pressure pulse
83,blunt_dissection
84,both
85,bowel
86,breath
87,bun
88,c5-c6
89,cancer
90,care
91,changes
92,chest
93,chest_pain
94,chest_x
95,chest_x ray
96,chief_complaint
97,chills
98,cigarettes
99,clinic
100,closure
101,co2
102,complaints
103,complications
104,congestive_heart_failure
105,conscious_sedation
106,consciousness
107,consent
108,constipation
109,consultation
110,contrast
111,coronary_artery_disease
112,cough
113,coumadin
114,creatinine
115,ct_scan
116,data
117,date
118,day
119,days
120,december
121,degrees
122,delivery
123,depression
124,detail
125,detail informed_consent
126,detail the_patient
127,diabetes
128,diagnoses
129,diagnosis
130,diagnosis performed
131,diameter
132,diarrhea
133,difficulty
134,direct_vision
135,direct_visualization
136,discharge
137,dissection
138,dizziness
139,dr._x
140,dr._x.
141,dr._xyz
142,dr._y
143,drainage
144,dysphagia
145,dyspnea
146,dysuria
147,ears
148,edema
149,ekg
150,electrocautery
151,epinephrine
152,erythema
153,evaluation
154,evidence
155,exam
156,examination
157,"examination:,general"
158,excision
159,exertion
160,exposure
161,extremities
162,eyes
163,face
164,failure
165,family
166,family_history
167,father
168,fatigue
169,fever
170,fevers
171,findings
172,fluid
173,fluoroscopy
174,followup
175,frequency
176,further_evaluation
177,gallops
178,general
179,general_anesthesia
180,general_anesthetic
181,general_endotracheal_anesthesia
182,good_condition
183,head
184,headache
185,headaches
186,hearing
187,heart
188,heart_rate
189,heent
190,height
191,hematocrit
192,hematuria
193,hemoglobin
194,hemostasis
195,her
196,her_husband
197,her_mother
198,her_symptoms
199,herself
200,him
201,his_mother
202,his_wife
203,home
204,hospital
205,hours
206,hyperlipidemia
207,hypertension
208,hypothyroidism
209,incision
210,induction
211,infection
212,informed_consent
213,informed_consent the_patient
214,injury
215,insertion
216,inspection
217,itself
218,left
219,length
220,lesions
221,lidocaine
222,light
223,local_anesthesia
224,local_anesthetic
225,loss
226,lungs
227,marcaine
228,mass
229,masses
230,medical_history
231,medications
232,melena
233,mellitus
234,midline
235,minimal
236,minute
237,minutes
238,mmhg
239,mom
240,months
241,mother
242,motion
243,mouth
244,mri
245,my_office
246,nausea
247,nausea vomiting
248,neck
249,neck_pain
250,night
251,no_acute_distress
252,no_apparent_distress
253,no_change
254,no_complications
255,no_edema
256,no_evidence
257,no_fever
258,no_history
259,no_known_drug_allergies
260,no_masses
261,no_murmur
262,no_murmurs
263,no_nausea
264,no_nausea vomiting
265,none
266,none the_patient
267,nontender
268,normal_limits
269,normocephalic
270,nose
271,numbness
272,obstruction
273,operation
274,operation the_patient
275,options
276,order
277,oropharynx
278,pain
279,palpation
280,palpitations
281,parents
282,patent
283,pathology
284,pelvis
285,percussion
286,perforation
287,performed
288,person
289,person place
290,physical_examination
291,physical_therapy
292,place
293,placement
294,plan
295,pneumonia
296,position
297,potassium
298,pounds
299,preoperative
300,preoperative diagnosis
301,preoperative_diagnoses
302,preoperative_diagnosis
303,present_illness
304,present_illness the_patient
305,present_illness this
306,presentation
307,pressure
308,problems
309,procedures
310,pulse
311,pulse respirations
312,pupils
313,pupils light
314,questions
315,ray
316,rays
317,reason
318,recovery
319,recovery_room
320,regular_rate
321,regular_rate rhythm
322,removal
323,repair
324,resection
325,respirations
326,respiratory_rate
327,rest
328,review
329,rhonchi
330,rhythm
331,risk
332,risks
333,risks benefits
334,room_air
335,rubs
336,satisfactory_condition
337,sedation
338,sensation
339,shortness
340,shortness breath
341,signs
342,size
343,skin
344,some
345,speech
346,stable_condition
347,status
348,strength
349,stroke
350,subcutaneous_tissue
351,supine_position
352,supple
353,surgery
354,surgery the_patient
355,surgical_history
356,symptoms
357,syncope
358,systems
359,temperature
360,tenderness
361,that
362,that_time
363,the
364,the_abdomen
365,the_anterior_chamber
366,the_area
367,the_arm
368,the_back
369,the_base
370,the_bladder
371,the_brain
372,the_case
373,the_catheter
374,the_cecum
375,the_cervix
376,the_chart
377,the_chest
378,the_child
379,the_cord
380,the_day
381,the_department
382,the_department anesthesia
383,the_emergency_department
384,the_emergency_room
385,the_end
386,the_esophagus
387,the_eye
388,the_face
389,the_family
390,the_fascia
391,the_floor
392,the_foot
393,the_gallbladder
394,the_guidewire
395,the_head
396,the_history
397,the_hospital
398,the_incision
399,the_left
400,the_left_side
401,the_lesion
402,the_level
403,the_liver
404,the_mass
405,the_midline
406,the_morning
407,the_neck
408,the_needle
409,the_nose
410,the_office
411,the_operating_room
412,the_operating_room the_operating_table
413,the_operating_room the_supine_position
414,the_operating_room_table
415,the_operating_table
416,the_operation
417,the_operative_suite
418,the_or
419,the_pain
420,the_past
421,the_patient
422,the_patient a_-year-old_female
423,the_patient a_-year-old_gentleman
424,the_patient a_-year-old_male
425,the_patient the_operating_room
426,the_patient the_procedure
427,the_possibility
428,the_procedure
429,the_procedure the_patient
430,the_prone_position
431,the_recovery_room
432,the_recovery_room stable_condition
433,the_rectum
434,the_remainder
435,the_rest
436,the_right
437,the_right_foot
438,the_right_side
439,the_risks
440,the_risks benefits
441,the_scope
442,the_skin
443,the_stomach
444,the_subcutaneous_tissue
445,the_supine_position
446,the_surgery
447,the_symptoms
448,the_table
449,the_time
450,the_tip
451,the_tourniquet
452,the_tumor
453,the_umbilicus
454,the_usual_fashion
455,the_usual_manner
456,the_usual_sterile_fashion
457,the_usual_sterile_manner
458,the_uterus
459,the_wound
460,them
461,these
462,this
463,this a_-year-old_female
464,this a_-year-old_male
465,this_area
466,this_patient
467,this_point
468,this_procedure
469,this_time
470,throat
471,time
472,times
473,tms
474,treatment
475,tumor
476,ultrasound
477,units
478,usual_sterile_fashion
479,versed
480,vicryl
481,vision
482,visit
483,vital_signs
484,vomiting
485,vomiting diarrhea
486,weakness
487,week
488,weeks
489,weight
490,weight pounds
491,weight_loss
492,what
493,wheezing
494,which
495,which_time
496,who
497,xyz
498,years
499,you
